ID,config,goal,goal_optimal,goal_type,total_moves,moveIDs
26316,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'green', 'green', 'white', 'red', 'white', 'white', 'red', 'blue', 'green', 'white', 'green', 'red', 'blue', 'green', 'red', 'red', 'white', 'blue', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'red', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green']","clear nocolor C",11,"clear",11,"[(84, 54), (86, 55), (102, 92), (103, 74), (104, 56), (87, 37), (105, 36), (88, 38), (89, 75), (106, 57), (107, 59)]",1
26316,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'green', 'green', 'white', 'red', 'white', 'white', 'red', 'blue', 'green', 'white', 'green', 'red', 'blue', 'green', 'red', 'red', 'white', 'blue', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'red', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green']","uncover blue all",5,"uncover",9,"[(58, 54), 'pass', (82, 92), (100, 74), (86, 36), (89, 56), (76, 55), (77, 38), (88, 100)]",1
26316,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'green', 'green', 'white', 'red', 'white', 'white', 'red', 'blue', 'green', 'white', 'green', 'red', 'blue', 'green', 'red', 'red', 'white', 'blue', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'red', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green']","cover blue all",6,"cover",6,"[(58, 75), (82, 80), (89, 78), (84, 65), (102, 81), (107, 70)]",1
26316,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'green', 'green', 'white', 'red', 'white', 'white', 'red', 'blue', 'green', 'white', 'green', 'red', 'blue', 'green', 'red', 'red', 'white', 'blue', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'red', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green']","fill nocolor B2",13,"fill",14,"[(79, 81), (58, 75), (75, 63), (73, 64), (91, 65), (97, 46), (76, 47), (77, 45), (88, 27), (89, 29), (87, 28), (105, 10), (86, 11), (96, 9)]",1
26316,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'green', 'green', 'white', 'red', 'white', 'white', 'red', 'blue', 'green', 'white', 'green', 'red', 'blue', 'green', 'red', 'red', 'white', 'blue', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'red', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green']","uncover red all",5,"uncover",13,"[(82, 81), (58, 65), (73, 92), 'pass', (72, 58), (65, 82), (82, 40), (81, 22), (22, 81), 'pass', (87, 71), (81, 68), (79, 78)]",1
26316,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'green', 'green', 'white', 'red', 'white', 'white', 'red', 'blue', 'green', 'white', 'green', 'red', 'blue', 'green', 'red', 'red', 'white', 'blue', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'red', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green']","fill nocolor A2",12,"fill",12,"[(73, 75), (79, 59), (82, 57), (91, 41), (83, 40), (86, 39), (87, 21), (88, 23), (84, 22), (89, 4), (99, 5), (101, 3)]",1
26316,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'green', 'green', 'white', 'red', 'white', 'white', 'red', 'blue', 'green', 'white', 'green', 'red', 'blue', 'green', 'red', 'red', 'white', 'blue', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'red', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green']","move green B2",10,"move",14,"[(72, 81), 'pass', (58, 75), (84, 78), (78, 63), (73, 80), (76, 64), (75, 65), (77, 45), (102, 46), (103, 47), (89, 29), (107, 27), (86, 28)]",1
26316,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'green', 'green', 'white', 'red', 'white', 'white', 'red', 'blue', 'green', 'white', 'green', 'red', 'blue', 'green', 'red', 'red', 'white', 'blue', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'red', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green']","clear nocolor B1",4,"clear",5,"[(96, 54), 'pass', (79, 92), (97, 74), (98, 75)]",1
26316,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'green', 'green', 'white', 'red', 'white', 'white', 'red', 'blue', 'green', 'white', 'green', 'red', 'blue', 'green', 'red', 'red', 'white', 'blue', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'red', 'green', 'green', 'green', 'blue', 'red', 'blue', 'green']","move red C1",11,"move",12,"[(87, 85), 'pass', (58, 66), (79, 68), (73, 67), (105, 50), (91, 49), (97, 48), (82, 32), (100, 30), (72, 91), (90, 31)]",1
51310,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'blue', 'blue', 'red', 'blue', 'white', 'green', 'white', 'blue', 'red', 'green', 'white', 'blue', 'white', 'red', 'white', 'green', 'white', 'blue', 'blue', 'green', 'red', 'green', 'blue', 'blue', 'red', 'green', 'green', 'red', 'green', 'green', 'red']","move green B",11,"move",27,"[(105, 42), 'pass', (86, 24), (74, 93), (92, 6), 'pass', (90, 59), 'pass', (93, 41), 'pass', (94, 62), 'pass', (88, 81), 'pass', (106, 43), 'pass', (67, 23), 'pass', (107, 86), 'pass', (86, 83), (104, 65), (85, 47), (103, 29), (84, 63), 'pass', (102, 44)]",0
51310,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'blue', 'blue', 'red', 'blue', 'white', 'green', 'white', 'blue', 'red', 'green', 'white', 'blue', 'white', 'red', 'white', 'green', 'white', 'blue', 'blue', 'green', 'red', 'green', 'blue', 'blue', 'red', 'green', 'green', 'red', 'green', 'green', 'red']","uncover green all",9,"uncover",29,"[(74, 72), 'pass', (88, 89), 'pass', (64, 83), 'pass', (80, 43), 'pass', (60, 80), (78, 25), (96, 62), 'pass', (84, 49), 'pass', (102, 68), 'pass', (49, 102), (67, 84), (85, 66), 'pass', (103, 50), 'pass', (62, 96), 'pass', (80, 7), 'pass', (50, 48), 'pass', (68, 103)]",0
51310,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'blue', 'blue', 'red', 'blue', 'white', 'green', 'white', 'blue', 'red', 'green', 'white', 'blue', 'white', 'red', 'white', 'green', 'white', 'blue', 'blue', 'green', 'red', 'green', 'blue', 'blue', 'red', 'green', 'green', 'red', 'green', 'green', 'red']","uncover red all",4,"uncover",7,"[(61, 62), 'pass', (79, 42), 'pass', (86, 66), 'pass', (67, 48)]",0
51310,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'blue', 'blue', 'red', 'blue', 'white', 'green', 'white', 'blue', 'red', 'green', 'white', 'blue', 'white', 'red', 'white', 'green', 'white', 'blue', 'blue', 'green', 'red', 'green', 'blue', 'blue', 'red', 'green', 'green', 'red', 'green', 'green', 'red']","move blue B",6,"move",11,"[(74, 42), 'pass', (77, 43), 'pass', (94, 62), 'pass', (95, 44), 'pass', (84, 83), 'pass', (88, 65)]",0
51310,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'blue', 'blue', 'red', 'blue', 'white', 'green', 'white', 'blue', 'red', 'green', 'white', 'blue', 'white', 'red', 'white', 'green', 'white', 'blue', 'blue', 'green', 'red', 'green', 'blue', 'blue', 'red', 'green', 'green', 'red', 'green', 'green', 'red']","clear nocolor C",11,"clear",16,"[(67, 81), 'pass', (86, 63), 'pass', (85, 83), 'pass', (84, 65), 'pass', (104, 45), 'pass', (103, 46), (102, 47), (88, 29), (105, 28), (106, 27), (107, 11)]",0
51310,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'blue', 'blue', 'red', 'blue', 'white', 'green', 'white', 'blue', 'red', 'green', 'white', 'blue', 'white', 'red', 'white', 'green', 'white', 'blue', 'blue', 'green', 'red', 'green', 'blue', 'blue', 'red', 'green', 'green', 'red', 'green', 'green', 'red']","fill nocolor C1",11,"fill",15,"[(88, 66), 'pass', (107, 68), 'pass', (106, 50), (105, 49), (64, 48), (101, 32), (82, 31), (100, 30), (99, 14), 'pass', (61, 13), 'pass', (60, 12)]",0
51310,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'blue', 'blue', 'red', 'blue', 'white', 'green', 'white', 'blue', 'red', 'green', 'white', 'blue', 'white', 'red', 'white', 'green', 'white', 'blue', 'blue', 'green', 'red', 'green', 'blue', 'blue', 'red', 'green', 'green', 'red', 'green', 'green', 'red']","cover red all",6,"cover",9,"[(60, 43), 'pass', (74, 72), 'pass', (99, 46), (84, 49), (88, 89), 'pass', (102, 83)]",0
51310,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'blue', 'blue', 'red', 'blue', 'white', 'green', 'white', 'blue', 'red', 'green', 'white', 'blue', 'white', 'red', 'white', 'green', 'white', 'blue', 'blue', 'green', 'red', 'green', 'blue', 'blue', 'red', 'green', 'green', 'red', 'green', 'green', 'red']","clear nocolor C2",4,"clear",6,"[(88, 66), 'pass', (107, 68), 'pass', (105, 48), (106, 49)]",0
51310,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'blue', 'blue', 'red', 'blue', 'white', 'green', 'white', 'blue', 'red', 'green', 'white', 'blue', 'white', 'red', 'white', 'green', 'white', 'blue', 'blue', 'green', 'red', 'green', 'blue', 'blue', 'red', 'green', 'green', 'red', 'green', 'green', 'red']","cover green all",3,"cover",7,"[(61, 42), 'pass', (67, 68), 'pass', (88, 87), 'pass', (107, 88)]",0
51310,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'blue', 'blue', 'red', 'blue', 'white', 'green', 'white', 'blue', 'red', 'green', 'white', 'blue', 'white', 'red', 'white', 'green', 'white', 'blue', 'blue', 'green', 'red', 'green', 'blue', 'blue', 'red', 'green', 'green', 'red', 'green', 'green', 'red']","fill nocolor C2",14,"fill",16,"[(67, 89), 'pass', (64, 87), 'pass', (84, 69), (85, 70), (86, 71), (102, 53), (103, 52), (104, 51), (101, 33), (82, 34), (100, 35), (99, 17), (80, 16), (61, 15)]",0
37196,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'blue', 'blue', 'green', 'blue', 'white', 'green', 'blue', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'green', 'green', 'green', 'green', 'blue', 'white', 'red', 'green', 'red']","move green A1",10,"move",17,"[(78, 74), (79, 59), (66, 56), (81, 36), (84, 104), (102, 38), (82, 102), (106, 18), (99, 20), (100, 0), (101, 57), 'pass', (97, 106), (96, 87), (102, 85), 'pass', (57, 2)]",1
37196,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'blue', 'blue', 'green', 'blue', 'white', 'green', 'blue', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'green', 'green', 'green', 'green', 'blue', 'white', 'red', 'green', 'red']","fill nocolor C2",15,"fill",24,"[(82, 83), 'pass', (55, 89), (66, 82), (54, 88), (92, 80), (84, 87), (73, 84), (91, 71), (83, 85), (82, 70), (78, 82), (84, 52), (96, 69), (82, 34), (72, 67), (90, 53), (79, 49), (49, 35), (81, 16), (80, 17), (97, 51), (67, 33), (85, 15)]",1
37196,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'blue', 'blue', 'green', 'blue', 'white', 'green', 'blue', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'green', 'green', 'green', 'green', 'blue', 'white', 'red', 'green', 'red']","clear nocolor A",13,"clear",19,"[(55, 104), 'pass', (73, 87), (92, 80), (91, 61), (54, 58), (58, 62), (72, 83), (75, 65), (90, 59), (59, 64), 'pass', (77, 60), 'pass', (76, 63), 'pass', (93, 85), (94, 86), (95, 67)]",1
37196,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'blue', 'blue', 'green', 'blue', 'white', 'green', 'blue', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'green', 'green', 'green', 'green', 'blue', 'white', 'red', 'green', 'red']","cover blue all",8,"cover",15,"[(66, 85), (55, 87), (78, 57), (82, 104), (87, 86), (105, 68), (68, 58), 'pass', (84, 61), 'pass', (81, 80), 'pass', (107, 59), (106, 83), (83, 74)]",1
37196,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'blue', 'blue', 'green', 'blue', 'white', 'green', 'blue', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'green', 'green', 'green', 'green', 'blue', 'white', 'red', 'green', 'red']","uncover green all",5,"uncover",11,"[(82, 104), 'pass', (66, 86), 'pass', (84, 89), 'pass', (55, 74), (54, 83), (83, 61), 'pass', (81, 80)]",1
37196,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'blue', 'green', 'white', 'blue', 'blue', 'blue', 'green', 'blue', 'white', 'green', 'blue', 'white', 'red', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'green', 'green', 'green', 'green', 'blue', 'white', 'red', 'green', 'red']","fill nocolor A2",12,"fill",13,"[(55, 59), 'pass', (54, 58), (73, 57), (72, 41), (92, 40), (91, 39), (90, 21), (78, 22), (79, 23), (96, 3), (97, 4), (98, 5)]",1
